accuracy,recall,precision,f1_score,model,optim,lr,patience,min_delta,num_layers,hidden_size,dropout,epochs,batch_size,embedding_dim,train_time,name
0.8959939340326045,0.8959948091969713,0.8964798413406677,0.8960287192409769,LSTM,adam,0.001,15,0.0001,2,128,0.2,200,64,100,144.6227502822876,model_1
0.6332617212182484,0.6332680026630609,0.6347720528892092,0.6316575043107023,LSTM,sgd,0.001,15,0.0001,2,128,0.2,200,64,100,888.2392930984497,model_2
0.9001642866169595,0.9001637243906312,0.9002526823046596,0.9001752034969748,LSTM,adam,0.001995262314968879,15,0.0001,2,128,0.2,200,64,100,117.56437015533447,model_3
0.6498167572349298,0.6498248281272446,0.6511527495929786,0.6481091033015409,LSTM,sgd,0.001995262314968879,15,0.0001,2,128,0.2,200,64,100,891.6082825660706,model_4
0.8895488436749652,0.8895514915796078,0.8903589239737846,0.8895508866891189,LSTM,adam,0.003981071705534973,15,0.0001,2,128,0.2,200,64,100,99.66568517684937,model_5
0.7147731580942752,0.7147813109240605,0.7343147644758531,0.7095310171406276,LSTM,sgd,0.003981071705534973,15,0.0001,2,128,0.2,200,64,100,876.527174949646,model_6
0.8679388348287628,0.8679360194521903,0.8687226633439794,0.8679483401186969,LSTM,adam,0.00794328234724282,15,0.0001,2,128,0.2,200,64,100,105.3265745639801,model_7
0.8075319095159863,0.8075390750146939,0.809953758556507,0.8072309695496559,LSTM,sgd,0.00794328234724282,15,0.0001,2,128,0.2,200,64,100,887.5458128452301,model_8
0.7689877416908885,0.7689867919344175,0.7703750896449373,0.7690717723762889,LSTM,adam,0.01584893192461114,15,0.0001,2,128,0.2,200,64,100,126.00382471084595,model_9
0.8421584733982055,0.8421570947219967,0.8461541382762895,0.8424681754248934,LSTM,sgd,0.01584893192461114,15,0.0001,2,128,0.2,200,64,100,668.9475672245026,model_10
0.5688108176418551,0.5688318556066643,0.578429918103405,0.5636780436353696,LSTM,adam,0.03162277660168381,15,0.0001,2,128,0.2,200,64,100,130.62450170516968,model_11
0.8531530393024137,0.8531548235300432,0.8536273786229972,0.8531855450129685,LSTM,sgd,0.03162277660168381,15,0.0001,2,128,0.2,200,64,100,453.7730243206024,model_12
0.5297611525338052,0.5297848247116878,0.609052358141455,0.48797301929760045,LSTM,adam,0.06309573444801936,15,0.0001,2,128,0.2,200,64,100,181.84607887268066,model_13
0.8664223429799065,0.8664231692821457,0.8667092401280913,0.866450341393367,LSTM,sgd,0.06309573444801936,15,0.0001,2,128,0.2,200,64,100,345.34050154685974,model_14
0.5057500315935802,0.5057315995261538,0.5393450391363491,0.4967311921523309,LSTM,adam,0.12589254117941687,15,0.0001,2,128,0.2,200,64,100,185.79428243637085,model_15
0.8705926955642613,0.8705917969710221,0.8709732264711757,0.8706405012567057,LSTM,sgd,0.12589254117941687,15,0.0001,2,128,0.2,200,64,100,243.31450510025024,model_16
0.4219638569442689,0.42201394417366284,0.520489695840099,0.3478232446505891,LSTM,adam,0.25118864315095824,15,0.0001,2,128,0.2,200,64,100,141.14747214317322,model_17
0.8721091874131176,0.8721105889065895,0.8730811325696846,0.8721874781448499,LSTM,sgd,0.25118864315095824,15,0.0001,2,128,0.2,200,64,100,208.4757936000824,model_18
0.3332490837861746,0.3333333333333333,0.11108302792872488,0.1666350710900474,LSTM,adam,0.5011872336272722,15,0.0001,2,128,0.2,200,64,100,175.29020047187805,model_19
0.8855048654113484,0.8855028492203205,0.8859543972740767,0.8855212913077127,LSTM,sgd,0.5011872336272722,15,0.0001,2,128,0.2,200,64,100,172.90170669555664,model_20
