accuracy,recall,precision,f1_score,model,pooling,optim,lr,patience,min_delta,hidden_layers,output_size,dropout,epochs,batch_size,embedding_dim,train_time,name
0.8417793504359914,0.8417789780144135,0.8419690350000479,0.8418045755417589,MLP SWEM,aver,adam,0.001,15,0.0001,"[128, 64]",3,0.2,107/200,64,100,126.4692554473877,model_1
0.7600151649184885,0.7600126176265923,0.7608468499391702,0.760063026573412,MLP SWEM,max,adam,0.001,15,0.0001,"[128, 64]",3,0.2,110/200,64,100,130.37800931930542,model_2
0.6494376342727158,0.6494460884926306,0.6497456079907423,0.6479303089773539,MLP SWEM,aver,sgd,0.001,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,203.37628817558289,model_3
0.5949703020346265,0.5949764864212929,0.5951240358909097,0.5934072589605205,MLP SWEM,max,sgd,0.001,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,206.74246430397034,model_4
0.8403892329078732,0.8403858735866384,0.842093057026049,0.8405133798980725,MLP SWEM,aver,adam,0.001995262314968879,15,0.0001,"[128, 64]",3,0.2,90/200,64,100,105.31279730796814,model_5
0.7395425249589284,0.7395453437689903,0.739816723995177,0.7394525655938485,MLP SWEM,max,adam,0.001995262314968879,15,0.0001,"[128, 64]",3,0.2,95/200,64,100,110.3638870716095,model_6
0.6640970554783268,0.6641058136438079,0.6644892948701906,0.6625574635839431,MLP SWEM,aver,sgd,0.001995262314968879,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,202.6285901069641,model_7
0.63123973208644,0.631245646099437,0.6333422684861012,0.6297931400935862,MLP SWEM,max,sgd,0.001995262314968879,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,204.34971451759338,model_8
0.8309111588525212,0.8309135972416408,0.8318705112962074,0.8307421413621396,MLP SWEM,aver,adam,0.003981071705534973,15,0.0001,"[128, 64]",3,0.2,89/200,64,100,102.57187533378601,model_9
0.7074434474914697,0.7074460097163199,0.7077146740143118,0.7073658063442254,MLP SWEM,max,adam,0.003981071705534973,15,0.0001,"[128, 64]",3,0.2,77/200,64,100,87.71861147880554,model_10
0.7175533931505118,0.717561386344232,0.7186816032096911,0.7167166801039387,MLP SWEM,aver,sgd,0.003981071705534973,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,202.90477085113525,model_11
0.6887400480222419,0.6887436318888422,0.6912324846994098,0.6878306561077773,MLP SWEM,max,sgd,0.003981071705534973,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,201.84317231178284,model_12
0.805889043346392,0.8058900913297279,0.80757649876876,0.8058896330743671,MLP SWEM,aver,adam,0.00794328234724282,15,0.0001,"[128, 64]",3,0.2,77/200,64,100,86.94990038871765,model_13
0.6374320738026034,0.6374300656593842,0.6477164850426248,0.6355320853591812,MLP SWEM,max,adam,0.00794328234724282,15,0.0001,"[128, 64]",3,0.2,78/200,64,100,89.39990639686584,model_14
0.776822949576646,0.7768300661768928,0.7793435399295398,0.7763145780985651,MLP SWEM,aver,sgd,0.00794328234724282,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,199.8090045452118,model_15
0.722987488942247,0.7229914412701041,0.7244177193028759,0.7226574144568989,MLP SWEM,max,sgd,0.00794328234724282,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,203.90889525413513,model_16
0.7226083659800329,0.7226085328161315,0.7285267350796402,0.7226973018985845,MLP SWEM,aver,adam,0.01584893192461114,15,0.0001,"[128, 64]",3,0.2,53/200,64,100,59.309284687042236,model_17
0.5857449766207506,0.5857625810416087,0.5958088155593502,0.5827516387883688,MLP SWEM,max,adam,0.01584893192461114,15,0.0001,"[128, 64]",3,0.2,37/200,64,100,41.43236064910889,model_18
0.8191583470238848,0.8191588683390053,0.8199675962281548,0.8192905901347279,MLP SWEM,aver,sgd,0.01584893192461114,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,200.96445775032043,model_19
0.7349930494123594,0.7349920346799771,0.7354650602067118,0.735054147198604,MLP SWEM,max,sgd,0.01584893192461114,15,0.0001,"[128, 64]",3,0.2,136/200,64,100,135.6967043876648,model_20
