accuracy,recall,precision,f1_score,model,optim,lr,patience,min_delta,num_layers,hidden_size,dropout,epochs,batch_size,embedding_dim,train_time,name
0.7542019461645394,0.7542054522598787,0.7543000530408345,0.7539557597477774,RNN,adam,0.001,15,0.0001,2,128,0.2,35/200,64,100,149.78813767433167,model_1
0.6642234297990648,0.6642309740594975,0.6667792456622506,0.6621287964345236,RNN,sgd,0.001,15,0.0001,2,128,0.2,200/200,64,100,787.3719892501831,model_2
0.6330089725767724,0.633017873501537,0.6386103740942451,0.6297618301713466,RNN,adam,0.001995262314968879,15,0.0001,2,128,0.2,38/200,64,100,155.2485921382904,model_3
0.6908884114747883,0.6908984802401316,0.6975352982239374,0.6890368903152323,RNN,sgd,0.001995262314968879,15,0.0001,2,128,0.2,200/200,64,100,788.8399152755737,model_4
0.500063187160369,0.5000442278191737,0.5397590448699865,0.49672432889762214,RNN,adam,0.003981071705534973,15,0.0001,2,128,0.2,20/200,64,100,83.09122586250305,model_5
0.7512953367875648,0.7512974372111115,0.7554108527050035,0.7510897300620648,RNN,sgd,0.003981071705534973,15,0.0001,2,128,0.2,200/200,64,100,802.369952917099,model_6
0.5060027802350562,0.5060125396169611,0.5118735094862182,0.5049714885065152,RNN,adam,0.00794328234724282,15,0.0001,2,128,0.2,19/200,64,100,78.19417786598206,model_7
0.7731580942752433,0.7731608342967139,0.7736985266464179,0.7730907869815872,RNN,sgd,0.00794328234724282,15,0.0001,2,128,0.2,137/200,64,100,548.0740790367126,model_8
0.378743839251864,0.37869986311897263,0.5210544760237094,0.3013150855501724,RNN,adam,0.01584893192461114,15,0.0001,2,128,0.2,44/200,64,100,183.40929102897644,model_9
0.7615316567673449,0.7615247011172147,0.7677361049382899,0.7613929568343787,RNN,sgd,0.01584893192461114,15,0.0001,2,128,0.2,90/200,64,100,357.799396276474,model_10
0.34146341463414637,0.3414241491942822,0.5265298806823382,0.18836723071514042,RNN,adam,0.03162277660168381,15,0.0001,2,128,0.2,40/200,64,100,166.85526585578918,model_11
0.7586250473903703,0.7586293841963796,0.7606173727349925,0.7580941163144875,RNN,sgd,0.03162277660168381,15,0.0001,2,128,0.2,62/200,64,100,264.27589178085327,model_12
0.33337545810691266,0.33333716673044483,0.2507570233365363,0.18345727718912183,RNN,adam,0.06309573444801936,15,0.0001,2,128,0.2,29/200,64,100,125.49326491355896,model_13
0.756855806900038,0.7568572526292073,0.7568605948479461,0.7568331543546801,RNN,sgd,0.06309573444801936,15,0.0001,2,128,0.2,54/200,64,100,221.922030210495,model_14
0.33337545810691266,0.3333333333333333,0.11112515270230422,0.16668246295769754,RNN,adam,0.12589254117941687,15,0.0001,2,128,0.2,43/200,64,100,176.9924795627594,model_15
0.6294704915961077,0.6294764374975622,0.6397811822978031,0.6253190907061127,RNN,sgd,0.12589254117941687,15,0.0001,2,128,0.2,45/200,64,100,180.93848276138306,model_16
0.34689751042588146,0.34685367702805153,0.27718405610305624,0.20503250420724406,RNN,adam,0.25118864315095824,15,0.0001,2,128,0.2,29/200,64,100,123.8688735961914,model_17
0.4333375458106913,0.4332957756251336,0.455312394458846,0.3806723106257431,RNN,sgd,0.25118864315095824,15,0.0001,2,128,0.2,34/200,64,100,135.53404355049133,model_18
0.34689751042588146,0.34685367702805153,0.27718405610305624,0.20503250420724406,RNN,adam,0.5011872336272722,15,0.0001,2,128,0.2,26/200,64,100,116.48330187797546,model_19
0.34639201314292933,0.3463482436189032,0.35401229479587637,0.19787172026182387,RNN,sgd,0.5011872336272722,15,0.0001,2,128,0.2,16/200,64,100,76.60049176216125,model_20
